record_id,image_seq,subject,subject_middle,section_title,question_no,rank_label,question_text,answer_symbol,answer_boolean,explanation_text,source_page_question,source_page_answer,source_image,issue_type,issue_detail,remarks,gpt_check_status,gpt_check_note,human_check_status
KB2025-001-001,001,憲法,統治,内閣,2,B,内閣は条約を締結する場合には、必ず当該条約の締結前に国会の承認を経ることが必要である。,×,false,憲法73条3号但書は、時宜によっては国会の事後承認を認めているから、事前承認を必ず必要とする本肢は誤っている。,,,0001.png,出典不明,左欄の出典コードが小字で読み切れず,past_exam_refsは未転記（左欄小字のため）,pending,,pending
KB2025-001-002,001,憲法,統治,内閣,3,B,内閣は、事前に、時宜によっては事後に、国会の承認を経て条約を締結するが、やむを得ない事情があれば、事前または事後の国会の承認なく条約を締結できる。,×,false,内閣は、条約締結権を有するが（憲法73条3号本文）、事前に時宜によっては事後に国会の承認が必要である（73条3号ただし書）。やむを得ない事情があれば、国会の承認なく条約を締結できるとする例外規定はないため、後段は誤っている。,,,0001.png,出典不明,左欄の出典コードが小字で読み切れず,past_exam_refsは未転記,pending,,pending
KB2025-001-003,001,憲法,統治,内閣,4,B,内閣は、憲法及び法律の規定を実施するために、政令及び省令を制定する。,×,false,内閣は「政令」を制定することができる（憲法73条6号）。しかし、「省令」は各省庁大臣が制定する命令であり、内閣が制定するものではないから、本肢は誤っている。,,,0001.png,出典不明,左欄の出典コードが小字で読み切れず,past_exam_refsは未転記,pending,,pending
KB2025-001-004,001,憲法,統治,内閣,5,B,内閣は、実質的にみて、立法権を行使することがある。,○,true,内閣は、憲法および法律の規定を実施するために、政令を制定する（憲法73条6号本文）。したがって、内閣は、実質的にみて、立法権を行使することがあるといえる。,,,0001.png,出典不明,左欄の出典コードが小字で読み切れず,past_exam_refsは未転記,pending,,pending
KB2025-001-005,001,憲法,統治,内閣,6,B,内閣が政令を制定する場合、政令には、特にその法律の委任がある場合を除いては、罰則を設けることができない。,○,true,内閣が政令を制定する場合には、特にその法律の委任がある場合を除いては、罰則を設けることができない（憲法73条6号但書）。,,,0001.png,出典不明,左欄の出典コードが小字で読み切れず,past_exam_refsは未転記,pending,,pending
KB2025-001-006,001,憲法,統治,内閣,7,B,大赦、特赦、減刑、刑の執行の免除及び復権の決定は、内閣が行う。,○,true,内閣は、大赦、特赦、減刑、刑の執行の免除および復権を決定する事務を行う（憲法73条7号）。,,,0001.png,出典不明,左欄の出典コードが小字で読み切れず,past_exam_refsは未転記,pending,,pending
KB2025-001-007,001,憲法,統治,内閣,8,B,内閣は、いずれかの議院の総議員の4分の1以上の要求があれば、必ず臨時会の召集を決定しなければならないが、独自の判断で臨時会の召集を決定することはできない。,×,false,内閣は、臨時会の召集が必要であると判断すれば、独自にその召集を決定できるから（憲法53条前段）、後段は誤っている。なお、内閣は、いずれかの議院の総議員の4分の1以上の要求があれば、その召集を決定しなければならないから（53条後段）、前段は正しい。,,,0001.png,出典不明,左欄の出典コードが小字で読み切れず,past_exam_refsは未転記,pending,,pending
KB2025-001-008,001,憲法,統治,内閣,9,B,内閣は、いずれかの議院の総議員の4分の1以上の要求がなければ、臨時会の召集を決定することができない。,×,false,内閣は、臨時会の召集を独自の判断で決定することができるから（憲法53条前段）、本肢は誤っている。,,,0001.png,出典不明,左欄の出典コードが小字で読み切れず,past_exam_refsは未転記,pending,,pending
KB2025-001-009,001,憲法,統治,内閣,10,B,いずれかの議院の総議員の5分の1以上の要求があれば、内閣は、臨時会の召集を決定しなければならない。,×,false,内閣が臨時会の召集を決定しなければならないのは、いずれかの議院の総議員の「4分の1」以上の要求があった場合であり（憲法53条後段）、「5分の1」ではないから、本肢は誤っている。,,,0001.png,出典不明,左欄の出典コードが小字で読み切れず,past_exam_refsは未転記,pending,,pending
KB2025-043-002,043,行政法,行政法の一般的な法理論,附款,8,B,[問題文読取困難 - 申請に対する認可・許可を与える場合には申請内容が全部認められることが必要なので附款を付することができないとする問題と思われる],×,false,[解説読取困難 - 申請に対する許可・認可においても行政庁は附款を付することができるとの指摘の可能性。本肢は誤り],190,191,0043.png,読取揺れ,問題文が小字で正確に読み取れず。answer_symbolは右欄「8 ×」から確認,pending,pending,,pending
KB2025-043-003,043,行政法,行政法の一般的な法理論,附款,9,B,[問題文読取困難 - 申請行為が適法に認められる場合には附款を付する必要がないとする問題と思われる],×,false,[解説読取困難 - 申請が認められる場合であっても行政行為の目的達成のために附款を付することが許される場合があるとの指摘の可能性。本肢は誤り],190,191,0043.png,読取揺れ,問題文が小字で正確に読み取れず。answer_symbolは右欄「9 ×」から確認,pending,pending,,pending
KB2025-043-004,043,行政法,行政法の一般的な法理論,附款,10,B,[問題文読取困難 - 附款（期限・条件・負担等）の性質または効果に関する問題と思われる],×,false,[解説読取困難 - 附款の性質・効果についての誤りを指摘する可能性],190,191,0043.png,読取揺れ,問題文が小字で正確に読み取れず。answer_symbolは右欄「10 ×」から確認,pending,pending,,pending
KB2025-043-005,043,行政法,行政法の一般的な法理論,附款,11,A,[問題文読取困難 - 附款は法律の根拠がある場合または法律行為的行政行為についてのみ付することができるとする問題と思われる（附款の法的根拠）],×,false,[解説読取困難 - 附款の付与が許される場合の要件または限界についての誤りを指摘する可能性],190,191,0043.png,読取揺れ,A問題。問題文が小字で正確に読み取れず。answer_symbolは右欄「11 ×」から確認。原本照合必須,pending,pending,,pending
KB2025-043-006,043,行政法,行政法の一般的な法理論,附款,12,A,行政庁は自由に附款を付することができる。,×,false,附款は法律の根拠がある場合または行政行為の目的達成に必要かつ相当な範囲に限り付することができる。自由に附款を付することはできない。本肢は誤り。,190,191,0043.png,読取揺れ,A問題。問題文はほぼ読み取れたが確認推奨。answer_symbolは右欄「12 ×」から確認,pending,pending,,pending
KB2025-043-007,043,行政法,行政法の一般的な法理論,附款,13,A,[問題文読取困難 - 附款に義務違反があった場合の行政庁の対応（取消しまたは別の制裁）または特定の附款の種類に関する問題と思われる],○,true,[解説読取困難 - 附款の義務違反に対する行政庁の権限または附款の種類として正しいとの指摘の可能性],190,191,0043.png,読取揺れ,A問題。問題文が小字で正確に読み取れず。answer_symbolは右欄「13 ○」から確認。原本照合必須,pending,pending,,pending
KB2025-043-008,043,行政法,行政法の一般的な法理論,附款,14,B,[問題文読取困難 - 附款の内容が変更された場合または附款を後から追加・変更することの可否に関する問題と思われる],○,true,[解説読取困難 - 附款の変更・追加が許される場合について正しいとの指摘の可能性],190,191,0043.png,読取揺れ,問題文が小字で正確に読み取れず。answer_symbolは右欄「14 ○」から確認,pending,pending,,pending
KB2025-043-009,043,行政法,行政法の一般的な法理論,附款,15,B,[問題文読取困難 - 附款の独立取消しの可否（附款のみを取り消して主たる行政行為を残すことができるか）または附款の内容の限界に関する問題と思われる],×,false,[解説読取困難 - 附款の独立取消しの可否または附款の内容の限界についての誤りを指摘する可能性],190,191,0043.png,読取揺れ,問題文が小字で正確に読み取れず。answer_symbolは右欄「15 ×」から確認,pending,pending,,pending
KB2025-058-001,058,行政法,行政法の一般的な法理論,代執行,12,C,[問題文読取困難 - 公物の占用許可を取得した者に対する代執行の可否または代執行の対象義務の範囲に関する問題と思われる],×,false,[解説読取困難 - 代執行の対象または要件についての誤りを指摘する可能性],218,219,0058.png,読取揺れ,C問題。問題文が小字で正確に読み取れず。answer_symbolは右欄「12 ×」から確認。source_page推定,pending,pending,,pending
KB2025-058-002,058,行政法,行政法の一般的な法理論,代執行,13,A,[問題文読取困難 - 行政代執行の義務者が代執行の前提となる義務の違反の態様または代執行の要件充足に関する問題と思われる（最高裁判例への言及の可能性）],×,false,[解説読取困難 - 代執行の要件充足または義務違反の態様についての誤りを判例に基づき指摘する可能性],218,219,0058.png,読取揺れ,A問題。問題文が小字で正確に読み取れず。answer_symbolは右欄「13 ×」から確認。source_page推定。原本照合必須,pending,pending,,pending
KB2025-058-003,058,行政法,行政法の一般的な法理論,代執行,14,B,[問題文読取困難 - 行政庁による義務命令がある場合に義務者は代執行実施前に自ら義務を履行できるかに関する問題と思われる],×,false,[解説読取困難 - 代執行開始後も義務者が自ら義務を履行できるかどうかについての誤りを指摘する可能性],218,219,0058.png,読取揺れ,問題文が小字で正確に読み取れず。answer_symbolは右欄「14 ×」から確認。source_page推定,pending,pending,,pending
KB2025-058-004,058,行政法,行政法の一般的な法理論,代執行,15,A,[問題文読取困難 - 代執行の定義（行政庁が義務者に代わって義務内容を実現し費用を義務者から徴収する）に関する問題と思われる],×,false,[解説読取困難 - 代執行の定義についての誤りを指摘する可能性],218,219,0058.png,読取揺れ,A問題。問題文が小字で正確に読み取れず。answer_symbolは右欄「15 ×」から確認。source_page推定。原本照合必須,pending,pending,,pending
KB2025-058-005,058,行政法,行政法の一般的な法理論,代執行,16,A,[問題文読取困難 - 代執行をするには裁判所の命令等の司法的手続が必要とする問題と思われる（または代執行の要件に裁判所の関与が必要か）],×,false,代執行の実施に裁判所の命令等の司法的手続は不要である。行政庁は行政代執行法の定める手続（戒告→代執行令書→代執行）に従い自ら代執行を実施できる。本肢は誤り。,218,219,0058.png,読取揺れ,A問題。問題文が小字で正確に読み取れず。answer_symbolは右欄「16 ×」から確認。source_page推定。原本照合必須,pending,pending,,pending
KB2025-058-006,058,行政法,行政法の一般的な法理論,代執行,17,A,代執行をする者は、あらかじめ文書をもって義務者に、代執行を行う日時・代執行責任者の氏名・義務の内容等を通知しなければならない（行政代執行法3条1項）。,○,true,代執行令書は代執行の少なくとも相当の期限前に義務者に通知しなければならない（行政代執行法3条1項）。本肢は正しい。,218,219,0058.png,読取揺れ,A問題。問題文はほぼ読み取れたが確認推奨。answer_symbolは右欄「17 ○」から確認。source_page推定,pending,pending,,pending
KB2025-058-007,058,行政法,行政法の一般的な法理論,代執行,18,A,[問題文読取困難 - 代執行令書による通知の内容または代執行令書なしに代執行を実施できる例外的な場合に関する問題と思われる],×,false,[解説読取困難 - 代執行令書の送達を省略できる例外（非常の場合または危険切迫）の要件について誤りを指摘する可能性（行政代執行法3条）],218,219,0058.png,読取揺れ,A問題。問題文が小字で正確に読み取れず。answer_symbolは右欄「18 ×」から確認。source_page推定。原本照合必須,pending,pending,,pending
KB2025-058-008,058,行政法,行政法の一般的な法理論,代執行,19,B,[問題文読取困難 - 代執行費用の徴収方法（強制徴収の手続または費用の算定方法）に関する問題と思われる],×,false,[解説読取困難 - 代執行費用の強制徴収の手続または費用算定についての誤りを指摘する可能性（行政代執行法5条・6条）],218,219,0058.png,読取揺れ,問題文が小字で正確に読み取れず。answer_symbolは右欄「19 ×」から確認。source_page推定,pending,pending,,pending
KB2025-059-001,059,行政法,行政法の一般的な法理論,代執行,20,B,[問題文読取困難 - 代執行費用の義務者への負担方法または代執行費用の分担に関する問題と思われる],○,true,[解説読取困難 - 代執行費用は義務者が負担するとの指摘の可能性（行政代執行法6条等）。本肢は正しい],220,221,0059.png,読取揺れ,問題文が小字で正確に読み取れず。answer_symbolは右欄「20 ○」から確認,pending,pending,,pending
KB2025-059-002,059,行政法,行政法の一般的な法理論,代執行,21,B,[問題文読取困難 - 代執行に際して証書（代執行令書等）を発する義務の有無または証書の内容に関する問題と思われる（行政代執行法4条等）],×,false,[解説読取困難 - 代執行令書の発行義務またはその内容の要件についての誤りを指摘する可能性（行政代執行法3条・4条）],220,221,0059.png,読取揺れ,問題文が小字で正確に読み取れず。answer_symbolは右欄「21 ×」から確認,pending,pending,,pending
KB2025-059-003,059,行政法,行政法の一般的な法理論,代執行,22,B,[問題文読取困難 - 代執行実施後の物件の受渡しまたは代執行後の法律関係に関する問題と思われる（行政代執行法5条等）],×,false,[解説読取困難 - 代執行実施後の手続または物件の取扱いについての誤りを指摘する可能性（行政代執行法5条等）],220,221,0059.png,読取揺れ,問題文が小字で正確に読み取れず。answer_symbolは右欄「22 ×」から確認,pending,pending,,pending
KB2025-059-004,059,行政法,行政法の一般的な法理論,代執行,23,A,[問題文読取困難 - 義務者が費用を任意に払わない場合の費用徴収の方法（国税滞納処分の例による徴収）に関する問題と思われる],○,true,[解説読取困難 - 代執行費用を義務者が払わない場合は国税滞納処分の例によって強制徴収できるとの指摘の可能性（行政代執行法6条1項）。本肢は正しい],220,221,0059.png,読取揺れ,A問題。問題文が小字で正確に読み取れず。answer_symbolは右欄「23 ○」から確認。原本照合必須,pending,pending,,pending
KB2025-059-005,059,行政法,行政法の一般的な法理論,代執行,24,A,[問題文読取困難 - 即時強制または行政代執行費用の徴収手続の適法性に関する問題と思われる],×,false,[解説読取困難 - 即時強制または代執行費用徴収の手続についての誤りを指摘する可能性],220,221,0059.png,読取揺れ,A問題。問題文が小字で正確に読み取れず。answer_symbolは右欄「24 ×」から確認。原本照合必須,pending,pending,,pending
KB2025-059-006,059,行政法,行政法の一般的な法理論,代執行,25,C,[問題文読取困難 - 法的告知義務または代執行の事前手続の法定性に関する問題と思われる],×,false,[解説読取困難 - 代執行の事前手続の法定性または告知義務についての誤りを指摘する可能性],220,221,0059.png,読取揺れ,C問題。問題文が小字で正確に読み取れず。answer_symbolは右欄「25 ×」から確認,pending,pending,,pending
KB2025-059-007,059,行政法,行政法の一般的な法理論,代執行,26,B,[問題文読取困難 - 代執行と行政手続法の適用関係または代執行の手続と行政手続との調整に関する問題と思われる],×,false,[解説読取困難 - 代執行手続と行政手続法の関係についての誤りを指摘する可能性],220,221,0059.png,読取揺れ,問題文が小字で正確に読み取れず。answer_symbolは右欄「26 ×」から確認,pending,pending,,pending
KB2025-059-008,059,行政法,行政法の一般的な法理論,代執行,27,B,[問題文読取困難 - 命令的行政行為（下命等）を前提としない代執行の可否または命令なき代執行の適法性に関する問題と思われる],○,true,[解説読取困難 - 一定の場合には命令的行政行為を前提としない即時強制または代執行が可能であるとの指摘の可能性。本肢は正しい],220,221,0059.png,読取揺れ,問題文が小字で正確に読み取れず。answer_symbolは右欄「27 ○」から確認,pending,pending,,pending
KB2025-062-001,062,行政法,行政法の一般的な法理論,即時強制,3,A,[問題文読取困難 - 即時強制とは代替的作為義務の不履行に対して行政庁が自ら義務者に代わって行えることをいうとする問題と思われる],×,false,本肢は代執行の説明であり、即時強制の説明ではない。即時強制は義務の不履行を前提とせず、目前の危急の事態を避けるため等に直接実力を行使する措置である。本肢は誤り。,226,227,0062.png,読取揺れ,A問題。問題文が小字で正確に読み取れず。answer_symbolは右欄「3 ×」から確認。原本照合必須,pending,pending,,pending
KB2025-062-002,062,行政法,行政法の一般的な法理論,即時強制,4,B,[問題文読取困難 - 即時強制は行政上の金銭義務の不履行に対してもとする義務な処置として用いられるとする問題と思われる],×,false,即時強制は行政上の金銭義務の強制措置ではない。金銭義務の強制執行は強制徴収によって行われる。即時強制は義務の不履行を前提としない点で強制執行全般とも区別される。本肢は誤り。,226,227,0062.png,読取揺れ,問題文が小字で正確に読み取れず。answer_symbolは右欄「4 ×」から確認,pending,pending,,pending
KB2025-062-003,062,行政法,行政法の一般的な法理論,即時強制,5,B,即時強制は、義務者に対する義務を確保するためのものではなく、目前の危急の事態を避けるために必要がある場合に、直接に人の身体または財産に実力を加えて、行政上必要な状態を実現するために用いるものであり、これを行うには法律上の根拠規定が必要とされる。,○,true,即時強制は義務の履行確保（強制執行）ではなく、目前の危急の事態に対処するため直接実力を加えて行政上必要な状態を実現するものである。法治主義の観点から、即時強制を行うには法律上の根拠規定が必要とされる。本肢は正しい。,226,227,0062.png,読取揺れ,問題文はほぼ読み取れたが確認推奨。answer_symbolは右欄「5 ○」から確認,pending,pending,,pending
KB2025-062-004,062,行政法,行政法の一般的な法理論,即時強制,6,C,[問題文読取困難 - 行政庁が私人に対し制裁を加えることの比較または事後の制裁と即時強制の共通点・相違点に関する問題と思われる],×,false,[解説読取困難 - 即時強制と刑罰的制裁の区別または即時強制の対象についての誤りを指摘する可能性。本肢は誤り],226,227,0062.png,読取揺れ,C問題。問題文が小字で正確に読み取れず。answer_symbolは右欄「6 ×」から確認,pending,pending,,pending
KB2025-062-005,062,行政法,行政法の一般的な法理論,即時強制,7,B,[問題文読取困難 - 即時強制は私人の身体または財産を対象とするものであるが基本的人権保障の見地から身体を対象とするものは特に制限があるとする問題と思われる],×,false,[解説読取困難 - 即時強制における人権保障の見地からの制限の在り方または即時強制の具体的規制についての誤りを指摘する可能性。本肢は誤り],226,227,0062.png,読取揺れ,問題文が小字で正確に読み取れず。answer_symbolは右欄「7 ×」から確認,pending,pending,,pending
KB2025-062-006,062,行政法,行政法の一般的な法理論,即時強制,8,C,[問題文読取困難 - 行政上の即時強制には行政代執行法が適用されるとする問題と思われる],×,false,行政上の即時強制については、行政代執行法の適用はなく（同法1条）、個々の法律に根拠規定が必要である。本肢は誤り。,226,227,0062.png,読取揺れ,C問題。問題文が小字で正確に読み取れず。answer_symbolは右欄「8 ×」から確認,pending,pending,,pending
KB2025-062-007,062,行政法,行政法の一般的な法理論,即時強制,9,A,[問題文読取困難 - 警察官による即時強制を含む行政上の即時強制には行政目的のための実力行使が認められるとする問題と思われる],○,true,[解説読取困難 - 即時強制は義務の不履行を前提としないとはいえ、法律の根拠に基づく行政目的のための実力行使が認められるとの指摘の可能性（警察官職務執行法等）。本肢は正しい],226,227,0062.png,読取揺れ,A問題。問題文が小字で正確に読み取れず。answer_symbolは右欄「9 ○」から確認。原本照合必須,pending,pending,,pending
KB2025-062-008,062,行政法,行政法の一般的な法理論,即時強制,10,C,[問題文読取困難 - 一定の行政上の強制措置として活用された行為が即時強制にあたるとする問題と思われる],×,false,[解説読取困難 - 即時強制の定義または行政目的を達成するための実力行使の類型についての誤りを指摘する可能性。本肢は誤り],226,227,0062.png,読取揺れ,C問題。問題文が小字で正確に読み取れず。answer_symbolは右欄「10 ×」から確認,pending,pending,,pending
KB2025-065-001,065,行政法,行政法の一般的な法理論,行政罰,8,C,[問題文読取困難 - 義務不履行者に対しては秩序罰が科されることが認められるが罰金の限度は法律により設けられるとする問題と思われる],×,false,[解説読取困難 - 義務不履行者への制裁は刑事訴訟法の手続によって行われる刑罰と行政上の秩序罰とで手続・性質が異なること等を指摘する可能性。本肢は誤り],232,233,0065.png,読取揺れ,C問題。問題文が小字で正確に読み取れず。answer_symbolは右欄「8 ×」から確認,pending,pending,,pending
KB2025-065-002,065,行政法,行政法の一般的な法理論,行政罰,9,A,[問題文読取困難 - 「違反があれば罰則あり」（罪刑法定主義的要請）として行政罰の義務違反についても刑事法律が適用されるとする問題と思われる],×,false,[解説読取困難 - 人権保障（罪刑法定主義）の見地からの行政手続法の適用または行政罰が刑事手続とは異なる点を指摘する可能性。本肢は誤り],232,233,0065.png,読取揺れ,A問題。問題文が小字で正確に読み取れず。answer_symbolは右欄「9 ×」から確認。原本照合必須,pending,pending,,pending
KB2025-065-003,065,行政法,行政法の一般的な法理論,行政罰,10,A,[問題文読取困難 - 行政命令への違反については一般刑法上の処罰ができるとする問題と思われる（条例16条等への言及の可能性）],×,false,[解説読取困難 - 行政命令違反については刑事罰ではなく行政罰（行政刑罰・秩序罰）によって処理されることを指摘する可能性（一般刑法が適用されるわけではない）。本肢は誤り],232,233,0065.png,読取揺れ,A問題。問題文が小字で正確に読み取れず。answer_symbolは右欄「10 ×」から確認。原本照合必須,pending,pending,,pending
KB2025-065-004,065,行政法,行政法の一般的な法理論,行政罰,11,A,[問題文読取困難 - 行政罰については法令に特段の定めがある場合以外は科すことができないとする問題と思われる],×,false,[解説読取困難 - 行政罰は法律の根拠なしに科すことはできないとの指摘または二重処罰禁止（一事不再理）との関係について誤りを指摘する可能性。本肢は誤り],232,233,0065.png,読取揺れ,A問題。問題文が小字で正確に読み取れず。answer_symbolは右欄「11 ×」から確認。原本照合必須,pending,pending,,pending
KB2025-065-005,065,行政法,行政法の一般的な法理論,行政罰,12,A,[問題文読取困難 - 行政罰の適用に関して行政目的の観点から個別の場合に科すことができるとする問題と思われる],○,true,[解説読取困難 - 行政罰は行政目的達成のために必要な場合に法律の定めに従って科することができるとの指摘の可能性。本肢は正しい],232,233,0065.png,読取揺れ,A問題。問題文が小字で正確に読み取れず。answer_symbolは右欄「12 ○」から確認。原本照合必須,pending,pending,,pending
KB2025-065-006,065,行政法,行政法の一般的な法理論,行政罰,13,A,[問題文読取困難 - 地方自治体の条例による行政罰規定が認められるとする問題と思われる（地方自治法への言及の可能性）],○,true,地方公共団体は条例によって行政上の秩序罰（過料）を設けることができる（地方自治法14条3項）。また地方公共団体の条例には行政刑罰を規定することも可能である。本肢は正しい。,232,233,0065.png,読取揺れ,A問題。問題文が小字で正確に読み取れず。answer_symbolは右欄「13 ○」から確認。原本照合必須,pending,pending,,pending
KB2025-065-007,065,行政法,行政法の一般的な法理論,行政罰,14,A,[問題文読取困難 - 普通地方公共団体の条例への罰則規定は地方自治法の定める範囲内に限られるとする問題と思われる（地方自治法14条・258条等への言及の可能性）],×,false,[解説読取困難 - 条例による罰則の制限または地方自治法上の範囲についての誤りを指摘する可能性（地方自治法14条、258条等）。本肢は誤り],232,233,0065.png,読取揺れ,A問題。問題文が小字で正確に読み取れず。answer_symbolは右欄「14 ×」から確認。原本照合必須,pending,pending,,pending
KB2025-065-008,065,行政法,行政法の一般的な法理論,行政罰,15,A,[問題文読取困難 - 地方公法により法律は非訟事件手続以外のなんらかの方法によって地方自治義務規則において科されるとする問題と思われる],×,false,[解説読取困難 - 地方公共団体が科す過料は非訟事件手続法の定める手続によることを指摘する可能性。本肢は誤り],232,233,0065.png,読取揺れ,A問題。問題文が小字で正確に読み取れず。answer_symbolは右欄「15 ×」から確認。原本照合必須,pending,pending,,pending
